# real space correlation function weights for Xi_+ in Real space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# theta[arcmin]      R(theta)
2.042945188729705652e+00 0.000000000000000000e+00
2.043047556850677626e+00 0.000000000000000000e+00
2.043149930101122891e+00 0.000000000000000000e+00
2.043252308481297685e+00 0.000000000000000000e+00
2.043354691991459582e+00 0.000000000000000000e+00
2.043457080631865708e+00 0.000000000000000000e+00
2.043559474402773191e+00 0.000000000000000000e+00
2.043661873304438714e+00 0.000000000000000000e+00
2.043764277337119850e+00 0.000000000000000000e+00
2.043866686501073282e+00 0.000000000000000000e+00
2.043969100796556138e+00 0.000000000000000000e+00
2.044071520223825988e+00 0.000000000000000000e+00
2.044173944783139518e+00 0.000000000000000000e+00
2.044276374474754299e+00 0.000000000000000000e+00
2.044378809298927013e+00 0.000000000000000000e+00
2.044481249255915234e+00 0.000000000000000000e+00
2.044583694345976088e+00 0.000000000000000000e+00
2.044686144569366704e+00 0.000000000000000000e+00
2.044788599926344208e+00 0.000000000000000000e+00
2.044891060417166173e+00 0.000000000000000000e+00
2.044993526042089282e+00 0.000000000000000000e+00
2.045095996801371108e+00 0.000000000000000000e+00
2.045198472695269221e+00 0.000000000000000000e+00
2.045300953724040749e+00 0.000000000000000000e+00
2.045403439887942820e+00 0.000000000000000000e+00
2.045505931187232562e+00 0.000000000000000000e+00
2.045608427622167547e+00 0.000000000000000000e+00
2.045710929193005345e+00 0.000000000000000000e+00
2.045813435900002641e+00 0.000000000000000000e+00
2.045915947743417451e+00 0.000000000000000000e+00
2.046018464723506902e+00 0.000000000000000000e+00
2.046120986840528566e+00 0.000000000000000000e+00
2.046223514094739571e+00 0.000000000000000000e+00
2.046326046486397487e+00 0.000000000000000000e+00
2.046428584015759888e+00 0.000000000000000000e+00
2.046531126683083901e+00 0.000000000000000000e+00
2.046633674488626653e+00 0.000000000000000000e+00
2.046736227432646604e+00 0.000000000000000000e+00
2.046838785515400438e+00 0.000000000000000000e+00
2.046941348737146171e+00 0.000000000000000000e+00
2.047043917098140486e+00 0.000000000000000000e+00
2.047146490598641844e+00 0.000000000000000000e+00
